Area Code,Area,,,,Item,,Year,Unit,Value
10,Australia,,,,Apples,,1961,tonnes,295034
10,Australia,,,,Apples,,1962,tonnes,326282
10,Australia,,,,Apples,,1963,tonnes,349571
10,Australia,,,,Apples,,1964,tonnes,367397
10,Australia,,,,Apples,,1965,tonnes,360002
10,Australia,,,,Apples,,1966,tonnes,376878
10,Australia,,,,Apples,,1967,tonnes,369924
10,Australia,,,,Apples,,1968,tonnes,373688
10,Australia,,,,Apples,,1969,tonnes,422445
10,Australia,,,,Apples,,1970,tonnes,424057
10,Australia,,,,Apples,,1971,tonnes,442636
10,Australia,,,,Apples,,1972,tonnes,360167
10,Australia,,,,Apples,,1973,tonnes,426362
10,Australia,,,,Apples,,1974,tonnes,331302
10,Australia,,,,Apples,,1975,tonnes,362778
10,Australia,,,,Apples,,1976,tonnes,274831
10,Australia,,,,Apples,,1977,tonnes,301551
10,Australia,,,,Apples,,1978,tonnes,258360
10,Australia,,,,Apples,,1979,tonnes,344948
10,Australia,,,,Apples,,1980,tonnes,298812
10,Australia,,,,Apples,,1981,tonnes,306921
10,Australia,,,,Apples,,1982,tonnes,294476
10,Australia,,,,Apples,,1983,tonnes,300825
10,Australia,,,,Apples,,1984,tonnes,266998
10,Australia,,,,Apples,,1985,tonnes,352000
10,Australia,,,,Apples,,1986,tonnes,288000
10,Australia,,,,Apples,,1987,tonnes,324741
10,Australia,,,,Apples,,1988,tonnes,299807
10,Australia,,,,Apples,,1989,tonnes,323045
10,Australia,,,,Apples,,1990,tonnes,319403
10,Australia,,,,Apples,,1991,tonnes,288730
10,Australia,,,,Apples,,1992,tonnes,316101
10,Australia,,,,Apples,,1993,tonnes,327792
10,Australia,,,,Apples,,1994,tonnes,306920
10,Australia,,,,Apples,,1995,tonnes,316555
10,Australia,,,,Apples,,1996,tonnes,280147
10,Australia,,,,Apples,,1997,tonnes,353069
10,Australia,,,,Apples,,1998,tonnes,308856
10,Australia,,,,Apples,,1999,tonnes,334353
10,Australia,,,,Apples,,2000,tonnes,319652
10,Australia,,,,Apples,,2001,tonnes,302668
10,Australia,,,,Apples,,2002,tonnes,290264
10,Australia,,,,Apples,,2003,tonnes,326072
10,Australia,,,,Apples,,2004,tonnes,285282
10,Australia,,,,Apples,,2005,tonnes,452650
10,Australia,,,,Apples,,2006,tonnes,301251
10,Australia,,,,Apples,,2007,tonnes,377980
10,Australia,,,,Apples,,2008,tonnes,265481
10,Australia,,,,Apples,,2009,tonnes,295134
10,Australia,,,,Apples,,2010,tonnes,264401
10,Australia,,,,Apples,,2011,tonnes,299778
10,Australia,,,,Apples,,2012,tonnes,289064
10,Australia,,,,Apples,,2013,tonnes,288878
10,Australia,,,,Apples,,2014,tonnes,266771
10,Australia,,,,Apples,,2015,tonnes,295196
10,Australia,,,,Apples,,2016,tonnes,308298
10,Australia,,,,Apples,,2017,tonnes,313730
10,Australia,,,,Apples,,2018,tonnes,268355
10,Australia,,,,Bananas,,1961,tonnes,123863
10,Australia,,,,Bananas,,1962,tonnes,123863
10,Australia,,,,Bananas,,1963,tonnes,122745
10,Australia,,,,Bananas,,1964,tonnes,135226
10,Australia,,,,Bananas,,1965,tonnes,127719
10,Australia,,,,Bananas,,1966,tonnes,119241
10,Australia,,,,Bananas,,1967,tonnes,124479
10,Australia,,,,Bananas,,1968,tonnes,130688
10,Australia,,,,Bananas,,1969,tonnes,125481
10,Australia,,,,Bananas,,1970,tonnes,131069
10,Australia,,,,Bananas,,1971,tonnes,132585
10,Australia,,,,Bananas,,1972,tonnes,127834
10,Australia,,,,Bananas,,1973,tonnes,104600
10,Australia,,,,Bananas,,1974,tonnes,105797
10,Australia,,,,Bananas,,1975,tonnes,99887
10,Australia,,,,Bananas,,1976,tonnes,103233
10,Australia,,,,Bananas,,1977,tonnes,115062
10,Australia,,,,Bananas,,1978,tonnes,97808
10,Australia,,,,Bananas,,1979,tonnes,113132
10,Australia,,,,Bananas,,1980,tonnes,125123
10,Australia,,,,Bananas,,1981,tonnes,124341
10,Australia,,,,Bananas,,1982,tonnes,129582
10,Australia,,,,Bananas,,1983,tonnes,140481
10,Australia,,,,Bananas,,1984,tonnes,146423
10,Australia,,,,Bananas,,1985,tonnes,144774
10,Australia,,,,Bananas,,1986,tonnes,132751
10,Australia,,,,Bananas,,1987,tonnes,157720
10,Australia,,,,Bananas,,1988,tonnes,160137
10,Australia,,,,Bananas,,1989,tonnes,195762
10,Australia,,,,Bananas,,1990,tonnes,180290
10,Australia,,,,Bananas,,1991,tonnes,165057
10,Australia,,,,Bananas,,1992,tonnes,176906
10,Australia,,,,Bananas,,1993,tonnes,213908
10,Australia,,,,Bananas,,1994,tonnes,219222
10,Australia,,,,Bananas,,1995,tonnes,208102
10,Australia,,,,Bananas,,1996,tonnes,220047
10,Australia,,,,Bananas,,1997,tonnes,199581
10,Australia,,,,Bananas,,1998,tonnes,222957
10,Australia,,,,Bananas,,1999,tonnes,225167
10,Australia,,,,Bananas,,2000,tonnes,256867
10,Australia,,,,Bananas,,2001,tonnes,358388
10,Australia,,,,Bananas,,2002,tonnes,313314
10,Australia,,,,Bananas,,2003,tonnes,264772
10,Australia,,,,Bananas,,2004,tonnes,257237
